"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","EPRC_V3","Version 3 (2008-2019)","2008","2008","IDX","Index","0","Units",,,2.87883210182189,,
"FRA","France","EPRC_V3","Version 3 (2008-2019)","2009","2009","IDX","Index","0","Units",,,2.8312132358551,,
"FRA","France","EPRC_V3","Version 3 (2008-2019)","2010","2010","IDX","Index","0","Units",,,2.8312132358551,,
"FRA","France","EPRC_V3","Version 3 (2008-2019)","2011","2011","IDX","Index","0","Units",,,2.8312132358551,,
"FRA","France","EPRC_V3","Version 3 (2008-2019)","2012","2012","IDX","Index","0","Units",,,2.8312132358551,,
"FRA","France","EPRC_V3","Version 3 (2008-2019)","2013","2013","IDX","Index","0","Units",,,2.8312132358551,,
"FRA","France","EPRC_V3","Version 3 (2008-2019)","2014","2014","IDX","Index","0","Units",,,2.8312132358551,,
"FRA","France","EPRC_V3","Version 3 (2008-2019)","2015","2015","IDX","Index","0","Units",,,2.8312132358551,,
"FRA","France","EPRC_V3","Version 3 (2008-2019)","2016","2016","IDX","Index","0","Units",,,2.8312132358551,,
"FRA","France","EPRC_V3","Version 3 (2008-2019)","2017","2017","IDX","Index","0","Units",,,2.8312132358551,,
"FRA","France","EPRC_V3","Version 3 (2008-2019)","2018","2018","IDX","Index","0","Units",,,2.82894563674926,,
"FRA","France","EPRC_V3","Version 3 (2008-2019)","2019","2019","IDX","Index","0","Units",,,2.82894563674926,,
"ITA","Italy","EPRC_V3","Version 3 (2008-2019)","2008","2008","IDX","Index","0","Units",,,3.21371889114379,,
"ITA","Italy","EPRC_V3","Version 3 (2008-2019)","2009","2009","IDX","Index","0","Units",,,3.21371889114379,,
"ITA","Italy","EPRC_V3","Version 3 (2008-2019)","2010","2010","IDX","Index","0","Units",,,3.21371889114379,,
"ITA","Italy","EPRC_V3","Version 3 (2008-2019)","2011","2011","IDX","Index","0","Units",,,3.21371889114379,,
"ITA","Italy","EPRC_V3","Version 3 (2008-2019)","2012","2012","IDX","Index","0","Units",,,3.21371889114379,,
"ITA","Italy","EPRC_V3","Version 3 (2008-2019)","2013","2013","IDX","Index","0","Units",,,3.07086157798767,,
"ITA","Italy","EPRC_V3","Version 3 (2008-2019)","2014","2014","IDX","Index","0","Units",,,3.07086157798767,,
"ITA","Italy","EPRC_V3","Version 3 (2008-2019)","2015","2015","IDX","Index","0","Units",,,3.07086157798767,,
"ITA","Italy","EPRC_V3","Version 3 (2008-2019)","2016","2016","IDX","Index","0","Units",,,2.77324271202087,,
"ITA","Italy","EPRC_V3","Version 3 (2008-2019)","2017","2017","IDX","Index","0","Units",,,2.55895686149597,,
"ITA","Italy","EPRC_V3","Version 3 (2008-2019)","2018","2018","IDX","Index","0","Units",,,2.55895686149597,,
"ITA","Italy","EPRC_V3","Version 3 (2008-2019)","2019","2019","IDX","Index","0","Units",,,2.60657596588134,,
"NLD","Netherlands","EPRC_V3","Version 3 (2008-2019)","2008","2008","IDX","Index","0","Units",,,3.2868480682373,,
"NLD","Netherlands","EPRC_V3","Version 3 (2008-2019)","2009","2009","IDX","Index","0","Units",,,3.24149656295776,,
"NLD","Netherlands","EPRC_V3","Version 3 (2008-2019)","2010","2010","IDX","Index","0","Units",,,3.24149656295776,,
"NLD","Netherlands","EPRC_V3","Version 3 (2008-2019)","2011","2011","IDX","Index","0","Units",,,3.24149656295776,,
"NLD","Netherlands","EPRC_V3","Version 3 (2008-2019)","2012","2012","IDX","Index","0","Units",,,3.24149656295776,,
"NLD","Netherlands","EPRC_V3","Version 3 (2008-2019)","2013","2013","IDX","Index","0","Units",,,3.29506802558898,,
"NLD","Netherlands","EPRC_V3","Version 3 (2008-2019)","2014","2014","IDX","Index","0","Units",,,3.29506802558898,,
"NLD","Netherlands","EPRC_V3","Version 3 (2008-2019)","2015","2015","IDX","Index","0","Units",,,3.29506802558898,,
"NLD","Netherlands","EPRC_V3","Version 3 (2008-2019)","2016","2016","IDX","Index","0","Units",,,3.39484119415283,,
"NLD","Netherlands","EPRC_V3","Version 3 (2008-2019)","2017","2017","IDX","Index","0","Units",,,3.39484119415283,,
"NLD","Netherlands","EPRC_V3","Version 3 (2008-2019)","2018","2018","IDX","Index","0","Units",,,3.39484119415283,,
"NLD","Netherlands","EPRC_V3","Version 3 (2008-2019)","2019","2019","IDX","Index","0","Units",,,3.51388883590698,,
"ESP","Spain","EPRC_V3","Version 3 (2008-2019)","2008","2008","IDX","Index","0","Units",,,2.55200672149658,,
"ESP","Spain","EPRC_V3","Version 3 (2008-2019)","2009","2009","IDX","Index","0","Units",,,2.55200672149658,,
"ESP","Spain","EPRC_V3","Version 3 (2008-2019)","2010","2010","IDX","Index","0","Units",,,2.55200672149658,,
"ESP","Spain","EPRC_V3","Version 3 (2008-2019)","2011","2011","IDX","Index","0","Units",,,2.4499659538269,,
"ESP","Spain","EPRC_V3","Version 3 (2008-2019)","2012","2012","IDX","Index","0","Units",,,2.4499659538269,,
"ESP","Spain","EPRC_V3","Version 3 (2008-2019)","2013","2013","IDX","Index","0","Units",,,2.1999659538269,,
"ESP","Spain","EPRC_V3","Version 3 (2008-2019)","2014","2014","IDX","Index","0","Units",,,2.1999659538269,,
"ESP","Spain","EPRC_V3","Version 3 (2008-2019)","2015","2015","IDX","Index","0","Units",,,2.1999659538269,,
"ESP","Spain","EPRC_V3","Version 3 (2008-2019)","2016","2016","IDX","Index","0","Units",,,2.1999659538269,,
"ESP","Spain","EPRC_V3","Version 3 (2008-2019)","2017","2017","IDX","Index","0","Units",,,2.1999659538269,,
"ESP","Spain","EPRC_V3","Version 3 (2008-2019)","2018","2018","IDX","Index","0","Units",,,2.1999659538269,,
"ESP","Spain","EPRC_V3","Version 3 (2008-2019)","2019","2019","IDX","Index","0","Units",,,2.24758505821228,,
"GBR","United Kingdom","EPRC_V3","Version 3 (2008-2019)","2008","2008","IDX","Index","0","Units",,,1.77040815353393,,
"GBR","United Kingdom","EPRC_V3","Version 3 (2008-2019)","2009","2009","IDX","Index","0","Units",,,1.77040815353393,,
"GBR","United Kingdom","EPRC_V3","Version 3 (2008-2019)","2010","2010","IDX","Index","0","Units",,,1.77040815353393,,
"GBR","United Kingdom","EPRC_V3","Version 3 (2008-2019)","2011","2011","IDX","Index","0","Units",,,1.77040815353393,,
"GBR","United Kingdom","EPRC_V3","Version 3 (2008-2019)","2012","2012","IDX","Index","0","Units",,,1.77040815353393,,
"GBR","United Kingdom","EPRC_V3","Version 3 (2008-2019)","2013","2013","IDX","Index","0","Units",,,1.67517006397247,,
"GBR","United Kingdom","EPRC_V3","Version 3 (2008-2019)","2014","2014","IDX","Index","0","Units",,,1.6037414073944,,
"GBR","United Kingdom","EPRC_V3","Version 3 (2008-2019)","2015","2015","IDX","Index","0","Units",,,1.6037414073944,,
"GBR","United Kingdom","EPRC_V3","Version 3 (2008-2019)","2016","2016","IDX","Index","0","Units",,,1.6037414073944,,
"GBR","United Kingdom","EPRC_V3","Version 3 (2008-2019)","2017","2017","IDX","Index","0","Units",,,1.6037414073944,,
"GBR","United Kingdom","EPRC_V3","Version 3 (2008-2019)","2018","2018","IDX","Index","0","Units",,,1.6037414073944,,
"GBR","United Kingdom","EPRC_V3","Version 3 (2008-2019)","2019","2019","IDX","Index","0","Units",,,1.6037414073944,,
