Clase de disolución;Provincias;Periodo;Total
Total;Total Nacional;1995M01;471
Total;Total Nacional;1995M02;445
Total;Total Nacional;1995M03;454
Total;Total Nacional;1995M04;286
Total;Total Nacional;1995M05;368
Total;Total Nacional;1995M06;359
Total;Total Nacional;1995M07;307
Total;Total Nacional;1995M08;209
Total;Total Nacional;1995M09;341
Total;Total Nacional;1995M10;387
Total;Total Nacional;1995M11;384
Total;Total Nacional;1995M12;329
Total;Total Nacional;1996M01;1.215
Total;Total Nacional;1996M02;1.809
Total;Total Nacional;1996M03;2.687
Total;Total Nacional;1996M04;1.532
Total;Total Nacional;1996M05;1.429
Total;Total Nacional;1996M06;1.195
Total;Total Nacional;1996M07;1.088
Total;Total Nacional;1996M08;490
Total;Total Nacional;1996M09;2.726
Total;Total Nacional;1996M10;1.553
Total;Total Nacional;1996M11;1.259
Total;Total Nacional;1996M12;1.103
Total;Total Nacional;1997M01;1.153
Total;Total Nacional;1997M02;1.157
Total;Total Nacional;1997M03;1.025
Total;Total Nacional;1997M04;857
Total;Total Nacional;1997M05;701
Total;Total Nacional;1997M06;756
Total;Total Nacional;1997M07;621
Total;Total Nacional;1997M08;341
Total;Total Nacional;1997M09;557
Total;Total Nacional;1997M10;1.733
Total;Total Nacional;1997M11;872
Total;Total Nacional;1997M12;753
Total;Total Nacional;1998M01;939
Total;Total Nacional;1998M02;896
Total;Total Nacional;1998M03;851
Total;Total Nacional;1998M04;562
Total;Total Nacional;1998M05;628
Total;Total Nacional;1998M06;675
Total;Total Nacional;1998M07;709
Total;Total Nacional;1998M08;332
Total;Total Nacional;1998M09;619
Total;Total Nacional;1998M10;758
Total;Total Nacional;1998M11;722
Total;Total Nacional;1998M12;655
Total;Total Nacional;1999M01;1.024
Total;Total Nacional;1999M02;922
Total;Total Nacional;1999M03;748
Total;Total Nacional;1999M04;560
Total;Total Nacional;1999M05;557
Total;Total Nacional;1999M06;632
Total;Total Nacional;1999M07;545
Total;Total Nacional;1999M08;330
Total;Total Nacional;1999M09;499
Total;Total Nacional;1999M10;495
Total;Total Nacional;1999M11;1.854
Total;Total Nacional;1999M12;667
Total;Total Nacional;2000M01;880
Total;Total Nacional;2000M02;1.012
Total;Total Nacional;2000M03;897
Total;Total Nacional;2000M04;512
Total;Total Nacional;2000M05;582
Total;Total Nacional;2000M06;645
Total;Total Nacional;2000M07;445
Total;Total Nacional;2000M08;328
Total;Total Nacional;2000M09;584
Total;Total Nacional;2000M10;676
Total;Total Nacional;2000M11;888
Total;Total Nacional;2000M12;648
Total;Total Nacional;2001M01;1.093
Total;Total Nacional;2001M02;889
Total;Total Nacional;2001M03;869
Total;Total Nacional;2001M04;544
Total;Total Nacional;2001M05;674
Total;Total Nacional;2001M06;505
Total;Total Nacional;2001M07;572
Total;Total Nacional;2001M08;331
Total;Total Nacional;2001M09;515
Total;Total Nacional;2001M10;743
Total;Total Nacional;2001M11;775
Total;Total Nacional;2001M12;776
Total;Total Nacional;2002M01;1.115
Total;Total Nacional;2002M02;1.190
Total;Total Nacional;2002M03;887
Total;Total Nacional;2002M04;745
Total;Total Nacional;2002M05;604
Total;Total Nacional;2002M06;700
Total;Total Nacional;2002M07;590
Total;Total Nacional;2002M08;390
Total;Total Nacional;2002M09;585
Total;Total Nacional;2002M10;900
Total;Total Nacional;2002M11;764
Total;Total Nacional;2002M12;788
Total;Total Nacional;2003M01;1.111
Total;Total Nacional;2003M02;934
Total;Total Nacional;2003M03;771
Total;Total Nacional;2003M04;645
Total;Total Nacional;2003M05;675
Total;Total Nacional;2003M06;672
Total;Total Nacional;2003M07;683
Total;Total Nacional;2003M08;429
Total;Total Nacional;2003M09;761
Total;Total Nacional;2003M10;788
Total;Total Nacional;2003M11;888
Total;Total Nacional;2003M12;1.177
Total;Total Nacional;2004M01;1.930
Total;Total Nacional;2004M02;1.745
Total;Total Nacional;2004M03;1.277
Total;Total Nacional;2004M04;855
Total;Total Nacional;2004M05;806
Total;Total Nacional;2004M06;1.009
Total;Total Nacional;2004M07;806
Total;Total Nacional;2004M08;526
Total;Total Nacional;2004M09;729
Total;Total Nacional;2004M10;717
Total;Total Nacional;2004M11;827
Total;Total Nacional;2004M12;857
Total;Total Nacional;2005M01;1.242
Total;Total Nacional;2005M02;1.129
Total;Total Nacional;2005M03;831
Total;Total Nacional;2005M04;751
Total;Total Nacional;2005M05;681
Total;Total Nacional;2005M06;676
Total;Total Nacional;2005M07;608
Total;Total Nacional;2005M08;544
Total;Total Nacional;2005M09;679
Total;Total Nacional;2005M10;720
Total;Total Nacional;2005M11;843
Total;Total Nacional;2005M12;1.043
Total;Total Nacional;2006M01;1.572
Total;Total Nacional;2006M02;1.225
Total;Total Nacional;2006M03;1.029
Total;Total Nacional;2006M04;672
Total;Total Nacional;2006M05;814
Total;Total Nacional;2006M06;755
Total;Total Nacional;2006M07;635
Total;Total Nacional;2006M08;574
Total;Total Nacional;2006M09;722
Total;Total Nacional;2006M10;806
Total;Total Nacional;2006M11;1.013
Total;Total Nacional;2006M12;1.254
Total;Total Nacional;2007M01;1.758
Total;Total Nacional;2007M02;1.361
Total;Total Nacional;2007M03;1.211
Total;Total Nacional;2007M04;895
Total;Total Nacional;2007M05;1.039
Total;Total Nacional;2007M06;1.169
Total;Total Nacional;2007M07;2.037
Total;Total Nacional;2007M08;1.555
Total;Total Nacional;2007M09;1.282
Total;Total Nacional;2007M10;1.705
Total;Total Nacional;2007M11;1.693
Total;Total Nacional;2007M12;2.342
Total;Total Nacional;2008M01;2.495
Total;Total Nacional;2008M02;1.929
Total;Total Nacional;2008M03;1.066
Total;Total Nacional;2008M04;1.193
Total;Total Nacional;2008M05;1.088
Total;Total Nacional;2008M06;835
Total;Total Nacional;2008M07;1.061
Total;Total Nacional;2008M08;741
Total;Total Nacional;2008M09;1.198
Total;Total Nacional;2008M10;1.266
Total;Total Nacional;2008M11;1.479
Total;Total Nacional;2008M12;1.871
Total;Total Nacional;2009M01;2.371
Total;Total Nacional;2009M02;1.895
Total;Total Nacional;2009M03;1.547
Total;Total Nacional;2009M04;1.107
Total;Total Nacional;2009M05;1.067
Total;Total Nacional;2009M06;1.172
Total;Total Nacional;2009M07;1.085
Total;Total Nacional;2009M08;979
Total;Total Nacional;2009M09;1.069
Total;Total Nacional;2009M10;1.395
Total;Total Nacional;2009M11;1.503
Total;Total Nacional;2009M12;2.226
Total;Total Nacional;2010M01;2.511
Total;Total Nacional;2010M02;2.032
Total;Total Nacional;2010M03;1.591
Total;Total Nacional;2010M04;1.277
Total;Total Nacional;2010M05;1.430
Total;Total Nacional;2010M06;1.227
Total;Total Nacional;2010M07;1.188
Total;Total Nacional;2010M08;982
Total;Total Nacional;2010M09;1.085
Total;Total Nacional;2010M10;1.311
Total;Total Nacional;2010M11;1.602
Total;Total Nacional;2010M12;2.264
Total;Total Nacional;2011M01;2.848
Total;Total Nacional;2011M02;2.024
Total;Total Nacional;2011M03;2.001
Total;Total Nacional;2011M04;1.204
Total;Total Nacional;2011M05;1.446
Total;Total Nacional;2011M06;1.404
Total;Total Nacional;2011M07;1.217
Total;Total Nacional;2011M08;1.085
Total;Total Nacional;2011M09;1.224
Total;Total Nacional;2011M10;1.427
Total;Total Nacional;2011M11;1.686
Total;Total Nacional;2011M12;2.218
Total;Total Nacional;2012M01;3.084
Total;Total Nacional;2012M02;2.254
Total;Total Nacional;2012M03;2.082
Total;Total Nacional;2012M04;1.414
Total;Total Nacional;2012M05;1.750
Total;Total Nacional;2012M06;1.672
Total;Total Nacional;2012M07;1.641
Total;Total Nacional;2012M08;1.317
Total;Total Nacional;2012M09;1.227
Total;Total Nacional;2012M10;1.830
Total;Total Nacional;2012M11;1.915
Total;Total Nacional;2012M12;2.480
Total;Total Nacional;2013M01;3.491
Total;Total Nacional;2013M02;2.572
Total;Total Nacional;2013M03;1.938
Total;Total Nacional;2013M04;2.090
Total;Total Nacional;2013M05;1.933
Total;Total Nacional;2013M06;1.679
Total;Total Nacional;2013M07;1.857
Total;Total Nacional;2013M08;1.303
Total;Total Nacional;2013M09;1.375
Total;Total Nacional;2013M10;1.830
Total;Total Nacional;2013M11;2.148
Total;Total Nacional;2013M12;2.400
Total;Total Nacional;2014M01;3.285
Total;Total Nacional;2014M02;2.125
Total;Total Nacional;2014M03;1.981
Total;Total Nacional;2014M04;1.541
Total;Total Nacional;2014M05;1.439
Total;Total Nacional;2014M06;1.429
Total;Total Nacional;2014M07;1.568
Total;Total Nacional;2014M08;1.125
Total;Total Nacional;2014M09;1.321
Total;Total Nacional;2014M10;1.832
Total;Total Nacional;2014M11;1.799
Total;Total Nacional;2014M12;2.429
Total;Total Nacional;2015M01;2.889
Total;Total Nacional;2015M02;2.076
Total;Total Nacional;2015M03;1.786
Total;Total Nacional;2015M04;1.439
Total;Total Nacional;2015M05;1.362
Total;Total Nacional;2015M06;1.444
Total;Total Nacional;2015M07;1.434
Total;Total Nacional;2015M08;1.191
Total;Total Nacional;2015M09;1.273
Total;Total Nacional;2015M10;1.529
Total;Total Nacional;2015M11;1.773
Total;Total Nacional;2015M12;2.562
Total;Total Nacional;2016M01;3.017
Total;Total Nacional;2016M02;2.204
Total;Total Nacional;2016M03;1.776
Total;Total Nacional;2016M04;1.535
Total;Total Nacional;2016M05;1.352
Total;Total Nacional;2016M06;1.468
Total;Total Nacional;2016M07;1.341
Total;Total Nacional;2016M08;1.239
Total;Total Nacional;2016M09;1.223
Total;Total Nacional;2016M10;1.543
Total;Total Nacional;2016M11;1.921
Total;Total Nacional;2016M12;2.604
Total;Total Nacional;2017M01;3.468
Total;Total Nacional;2017M02;2.247
Total;Total Nacional;2017M03;1.991
Total;Total Nacional;2017M04;1.317
Total;Total Nacional;2017M05;1.510
Total;Total Nacional;2017M06;1.431
Total;Total Nacional;2017M07;1.371
Total;Total Nacional;2017M08;1.228
Total;Total Nacional;2017M09;1.110
Total;Total Nacional;2017M10;1.507
Total;Total Nacional;2017M11;1.810
Total;Total Nacional;2017M12;2.597
Total;Total Nacional;2018M01;3.710
Total;Total Nacional;2018M02;2.291
Total;Total Nacional;2018M03;1.756
Total;Total Nacional;2018M04;1.486
Total;Total Nacional;2018M05;1.524
Total;Total Nacional;2018M06;1.370
Total;Total Nacional;2018M07;1.485
Total;Total Nacional;2018M08;1.357
Total;Total Nacional;2018M09;1.104
Total;Total Nacional;2018M10;1.665
Total;Total Nacional;2018M11;1.992
Total;Total Nacional;2018M12;2.647
Total;Total Nacional;2019M01;4.157
Total;Total Nacional;2019M02;2.311
Total;Total Nacional;2019M03;1.855
Total;Total Nacional;2019M04;1.610
Total;Total Nacional;2019M05;1.631
Total;Total Nacional;2019M06;1.255
Total;Total Nacional;2019M07;1.625
Total;Total Nacional;2019M08;1.167
Total;Total Nacional;2019M09;1.255
Total;Total Nacional;2019M10;1.743
Total;Total Nacional;2019M11;1.982
Total;Total Nacional;2019M12;2.719
Total;Total Nacional;2020M01;3.556
Total;Total Nacional;2020M02;2.418
Total;Total Nacional;2020M03;1.470
Total;Total Nacional;2020M04;404
Total;Total Nacional;2020M05;482
Total;Total Nacional;2020M06;1.115
Total;Total Nacional;2020M07;1.435
Total;Total Nacional;2020M08;1.123
Total;Total Nacional;2020M09;1.624
Total;Total Nacional;2020M10;1.589
Total;Total Nacional;2020M11;2.062
Total;Total Nacional;2020M12;3.022
Total;Total Nacional;2021M01;3.011
Total;Total Nacional;2021M02;2.501
Total;Total Nacional;2021M03;2.121
Total;Total Nacional;2021M04;1.860
Total;Total Nacional;2021M05;1.720
Total;Total Nacional;2021M06;1.570
Total;Total Nacional;2021M07;1.503
Total;Total Nacional;2021M08;1.274
Total;Total Nacional;2021M09;1.279
Total;Total Nacional;2021M10;1.760
