,mothers_10,not_mothers,fathers_10,not_fathers
130,6.3635252,5.4834956,7.3250284,5.7171641
131,6.1951692,5.1947852,7.0434038,5.6239378
132,6.3085093,5.1856381,6.9413443,5.6244803
133,6.309123,5.2340495,6.8775707,5.7663662
134,6.2664672,5.4231179,6.8934042,5.8666135
135,6.2920226,5.2507947,6.8383524,5.9151024
136,6.3432386,5.1146423,6.9276148,5.7022442
137,6.1055243,5.1426997,6.8643651,5.6549549
138,6.1257229,5.1601626,6.8090617,5.6861773
139,6.0161151,4.7656728,6.7268785,5.7826876
140,5.9940193,5.0073937,6.6819103,5.7141267
141,5.8614279,4.8469249,6.5629372,5.4862354
142,5.9834806,4.7137359,6.6471032,5.5165521
143,5.9805552,4.9808411,6.6382822,5.5025368
144,5.9409439,5.0021251,6.622793,5.5902352
145,5.9707856,4.9451075,6.5169904,5.7094246
146,6.1808362,4.9739983,6.7589315,5.7913502
147,6.1970857,4.8882266,6.8938705,5.8997181
148,6.1178473,4.8582931,6.8614409,5.8797077
149,6.1398613,4.921754,7.05253,5.9597228
150,6.2677505,4.9801155,7.1296285,5.9595408
151,6.2558765,5.1573884,7.1767309,5.9835956
152,6.2685842,5.0916177,7.2303548,5.857932
153,6.3620832,5.1012174,7.383484,5.9123556
154,6.466901,5.154616,7.3662566,6.0379708
155,6.4946092,5.2566222,7.2595805,6.0035462
156,6.4282743,5.4356654,7.172902,6.112437
157,6.4797849,5.4229335,7.1500057,6.3739125
158,6.6263431,5.5726629,7.3092706,6.3753884
159,6.6344123,5.4741737,7.2184396,6.4405366
160,6.734109,5.6972482,7.5090063,6.5094844
161,6.773302,5.6537261,7.6288167,6.4415155
162,7.0644166,5.7548855,7.6899656,6.5967931
163,7.0575738,5.7020807,7.4559827,6.5643817
164,7.0809489,5.7159133,7.4852946,6.3743581
165,7.0038103,5.6498721,7.1531324,6.4378682
166,7.0664762,5.626367,7.1652266,6.3074578
167,7.0465617,5.6957932,7.0929624,6.1839138
168,7.0373519,5.518917,7.1593177,6.2146343
169,7.073281,5.5535847,7.0976789,6.2829365
170,7.3205522,5.7161127,7.153013,6.3802543
171,7.0713676,5.7048839,7.1262955,6.1830957
172,7.0426604,5.6859787,7.062053,6.2209602
173,7.2531573,5.4542922,7.3314196,6.0212247
174,7.2992536,5.6420723,7.3809753,6.0568554
175,7.1794752,5.5300349,7.2597659,6.1701656
176,7.114319,5.4184883,7.2480024,6.2046079
177,7.2312813,5.4955654,7.2164024,6.1049214
178,7.3424989,5.572081,7.2803174,5.9586806
179,7.2042997,5.4057391,7.1741658,6.1300264
180,7.1598012,5.2701426,7.1076481,6.1161472
181,7.0638504,5.4278369,7.1926556,5.9868493
182,7.2040926,5.5389083,7.3289114,6.2183703
183,6.9920632,5.1101471,7.2426563,6.0261063
184,6.9471181,5.0036629,7.2280411,5.9829113
185,7.00978,5.0076841,7.1205416,5.8730008
186,7.0981976,5.0821163,7.2039984,6.0220299
187,6.9554082,5.3230109,6.9339633,5.9895476
188,6.995163,5.2088084,6.8650911,5.9665812
189,6.803078,5.3012015,6.6983099,5.7807394
190,7.0017638,5.1598715,6.9674991,5.7730855
191,7.2719735,5.2023359,7.2766799,5.6438232
192,7.0634569,5.050477,7.1035114,5.484496
193,6.9205136,5.0366486,7.1227288,5.7638016
194,6.9720588,5.2743595,7.3962673,5.9509111
195,6.9491082,5.07225,7.4061798,6.3597791
196,6.7193377,5.1600356,7.2440785,5.8983718
197,6.4706036,5.0244249,7.2949332,5.9896939
198,6.7609503,4.9097363,7.3017461,5.8411068
199,6.6104659,4.8681897,6.9480977,5.8599191
200,6.5442958,4.8265374,6.904271,5.8874572
201,6.4285181,4.6935569,6.8769965,5.8448677
